transformation,interestingness,creativity,average
Engaging Plot_perturbed_stories.jsonl,0.08943406022845275,0.026860193526860192,0.05814712687765647
Irony_perturbed_stories.jsonl,0.29387331256490135,0.2766099432766099,0.28524162792075564
Metaphor and Simile_perturbed_stories.jsonl,0.18094496365524404,0.2190523857190524,0.19999867468714821
Pun_perturbed_stories.jsonl,0.19003115264797507,0.3071404738071405,0.2485858132275578
Sensory Description_perturbed_stories.jsonl,0.120067497403946,0.08758758758758758,0.10382754249576678
Vivid Writing Style_perturbed_stories.jsonl,0.12564901349948082,0.08274941608274941,0.10419921479111512
mean,0.16666666666666666,0.16666666666666666,0.16666666666666666
